"sponsor","district","party","number","short_description","chamber","last_action","last_action_date"
"Pamela J. Althoff","32","R","SB27","MEDICAID BUDGET NOTE ACT","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB28","HOMELESS VETERANS SHELTER ACT","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB29","ROAD FUND-NO TRANSFERS","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB33","EPA-RULES-DOCUMENT SUBMISSION","S","Public Act . . . . . . . . . 98-0072","7/15/2013"
"Pamela J. Althoff","32","R","SB104","MIN WAGE-OVERTIME-ALTERN SHIFT","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB1246","TRANSPORTATION-TECH","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB1299","FOX WATERWAY FEE","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB1302","UNEMPLOYMENT INS PUBLIC SAFETY","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB1431","COUNTY BOARD MEMBERS","S","Public Act . . . . . . . . . 98-1159","1/9/2015"
"Pamela J. Althoff","32","R","SB1497","VETERANS&MENTAL HEALTH COURTS","S","Public Act . . . . . . . . . 98-0152","8/2/2013"
"Pamela J. Althoff","32","R","SB1498","IFA-EMERALD ASH BORER, REPORTS","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB1526","LOC GOVT IMMUNITY-MUTUAL AID","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB1589","MUNI-TREATMENT OF TREES","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB1631","NURSE LICENSURE COMPACT","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB1663","GOOD SAMARITAN ACT:RE-ENACT","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB1668","CORRECTIONS-TECH","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB1669","PREVAIL WAGE-LOCAL PROJECT","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB1692","FOIA/OPEN MTGS-ASSOCIATIONS","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB1696","IDPH-PRESCRIPT DRUG REPOSITORY","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB1778","BANKING-REGULATION","S","Public Act . . . . . . . . . 98-1096","8/26/2014"
"Pamela J. Althoff","32","R","SB1813","BUSINESS-TECH","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB1814","CRIM PRO EVIDENCE","S","Public Act . . . . . . . . . 98-0160","8/2/2013"
"Pamela J. Althoff","32","R","SB1818","ELEC CD-FILING OF PETITIONS","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB1822","OPEN MEETINGS PARKS TRAINING","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB1904","DEDICATED FUND IMPACT NOTE ACT","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB1905","DEDICATED FUND TRACKER","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB1906","REGULATORY FUNDS-CREDIT","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB1907","GOMB-BUDGET TRANSPARENCY","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB1916","HOSPITL-NURS HOME-SAME BUILDNG","S","Session Sine Die","1/13/2015"
